timestamp,x,y,polarity
9277633,114,9,0
9277746,6,1,0
9277870,29,114,0
9278011,70,68,0
9278061,5,42,0
9278092,8,76,0
9278138,70,64,1
9278373,34,85,0
9278502,71,104,0
9278541,74,116,0
9278629,64,86,0
9278695,85,87,0
9278784,74,100,0
9278819,20,82,0
9278860,74,42,0
9278920,45,84,0
9278990,45,92,0
9279001,76,50,0
9279011,59,46,1
9279150,42,71,0
9279235,31,16,0
9279254,50,122,1
9279254,50,122,1
9279293,50,0,1
9279514,94,20,0
9279658,47,73,0
9279665,56,122,0
9279733,5,42,0
9279913,76,116,0
9280083,20,82,1
9280377,62,6,0
9280681,62,6,0
9280984,62,6,0
9281213,31,110,1
9281260,64,18,0
9281554,54,46,1
9281589,45,92,0
9281666,25,29,0
9281698,43,84,0
9281826,70,70,0
9282079,102,48,0
9282371,37,56,0
9282410,70,60,0
9282446,32,123,0
9282749,32,123,0
9282989,0,76,1
9283177,60,30,1
9283251,50,124,0
9283414,38,48,0
9283414,111,0,0
9283427,94,20,1
9283522,72,6,0
9283710,86,38,0
9283807,101,101,0
9283816,17,31,0
9283872,16,67,0
9283972,79,105,0
9284063,125,11,0
9284366,125,11,0
9284537,84,111,0
9284541,41,88,0
9284574,47,72,0
9284656,74,99,1
9284959,74,99,1
9285153,44,53,0
9285251,46,19,0
9285413,42,112,0
9285445,63,109,0
9285481,27,20,1
9285563,6,110,0
9285720,29,108,0
9285810,67,89,0
9286017,88,71,0
9286276,75,118,0
9286313,54,10,0
9286367,22,26,0
9286552,34,41,0
9286572,36,102,1
9286663,76,116,0
9286789,57,110,0
9286901,30,4,0
9286979,3,49,0
9287075,55,71,0
9287200,110,43,0
9287220,69,118,0
9287250,67,39,0
9287285,41,66,0
9287588,41,66,0
9287858,17,68,0
9288161,17,68,0
9288211,124,124,0
9288508,76,96,1
9288609,8,47,0
9288705,14,119,0
9288773,42,112,0
9288800,58,0,0
9288845,51,25,0
9288973,79,108,0
9288973,74,77,0
9289101,35,14,1
9289404,35,14,1
9289579,2,63,1
9289882,2,63,1
9289921,32,19,0
9290099,84,42,0
9290122,40,99,1
9290129,98,62,0
9290155,69,93,0
9290296,69,68,0
9290445,69,107,0
9290655,36,28,0
9290811,24,34,1
9290824,24,65,0
9290898,125,43,0
9290901,70,102,1
9291204,70,102,1
9291287,56,122,0
9291556,89,78,0
9291564,13,106,0
9291588,90,102,0
9291595,93,53,0
9291597,28,88,0
9291644,59,93,0
9291673,59,5,0
9291764,6,110,0
9292039,33,100,0
9292196,57,120,0
9292393,58,96,1
9292396,41,70,0
9292455,64,72,1
9292469,46,116,0
9292508,21,34,0
9292551,16,102,0
9292680,64,107,0
9292913,64,86,0
9292971,64,72,0
9293097,65,82,0
9293140,88,32,0
9293426,57,120,1
9293730,57,120,1
9293949,7,72,1
9294093,17,68,0
9294210,72,70,0
9294319,7,70,0
9294422,73,34,1
9294525,41,71,0
9294533,41,31,0
9294837,41,31,0
9295140,41,31,0
9295366,45,84,0
9295669,45,84,0
9295798,31,87,0
9295833,57,86,1
9295985,68,103,0
9296288,68,103,0
9296475,77,84,0
9296579,95,82,0
9296641,64,107,0
9296842,84,117,0
9296862,69,46,0
9296862,62,126,0
9296928,24,105,0
9296945,29,73,0
9296959,111,73,0
9297000,111,116,0
9297141,56,60,0
9297190,71,50,1
9297234,47,72,0
9297251,25,29,0
9297259,71,100,0
9297268,126,30,0
9297342,126,3,0
9297356,71,118,0
9297395,94,74,0
9297521,69,68,0
9297526,64,72,1
9297528,69,87,0
9297596,11,124,0
9297624,91,11,0
9297687,100,127,0
9297768,37,51,0
9297849,28,15,0
9298003,20,56,0
9298221,31,118,0
9298289,100,117,1
9298422,120,71,0
9298613,126,30,1
9298656,46,116,0
9298960,46,116,0
9299099,1,69,0
9299217,42,112,0
9299227,31,9,0
9299378,34,114,0
9299443,15,5,0
9299570,72,56,0
9299873,72,56,0
9299964,88,104,1
9300072,76,124,0
9300241,98,84,0
9300256,21,60,0
9300385,36,88,0
9300416,69,107,0
9300594,31,58,0
9300623,37,110,0
9300749,22,74,0
9300794,46,24,1
9300828,107,98,0
9301131,107,98,0
9301132,37,93,0
9301172,81,61,0
9301371,33,28,0
9301674,33,28,0
9301978,33,28,0
9302281,33,28,0
9302412,6,19,1
9302443,46,27,0
9302450,112,28,0
9302476,107,98,0
9302779,107,98,0
9302793,81,33,0
9302811,4,52,0
9303115,4,52,0
9303184,65,99,0
9303287,91,38,0
9303320,58,28,0
9303623,58,28,0
9303790,57,44,1
9303864,125,4,0
9304065,111,110,0
9304233,20,84,1
9304233,20,84,1
9304439,48,102,0
9304448,51,93,0
9304455,85,94,1
9304613,85,28,1
9304624,74,77,0
9304735,103,72,1
9304767,88,123,0
9304856,22,97,0
9304934,116,27,0
9305181,64,76,1
9305265,116,118,0
9305333,33,106,0
9305338,33,81,0
9305400,112,51,0
9305628,67,84,0
9305658,90,5,0
9305815,96,116,1
9305893,53,99,0
9305913,64,8,1
9305928,34,41,0
9306082,102,13,0
9306229,70,51,0
9306230,72,6,0
9306291,12,111,1
9306302,8,66,0
9306406,96,95,0
9306585,7,72,0
9306888,7,72,0
9307192,7,72,0
9307254,22,74,1
9307295,81,1,1
9307333,67,63,0
9307449,27,76,0
9307610,12,22,1
9307612,62,50,0
9307762,16,26,1
9307874,7,72,1
9307875,7,72,1
9307945,34,64,1
9308208,57,112,0
9308319,35,22,0
9308359,107,74,0
9308407,78,115,0
9308673,81,89,0
9308692,44,95,0
9308696,6,110,0
9308836,85,85,0
9308852,30,121,0
9308901,20,64,0
9309053,74,100,0
9309115,111,122,0
9309418,111,122,0
9309431,19,96,0
9309465,103,37,0
9309477,19,84,0
9309497,57,112,0
9309800,57,112,0
9310008,117,92,0
9310027,115,30,0
9310330,115,30,0
9310424,1,34,0
9310727,1,34,0
9310738,103,37,1
9310870,117,92,1
9310900,103,63,1
9311172,100,127,1
9311325,69,113,1
9311457,13,9,0
9311558,4,10,0
9311861,4,10,0
9311889,51,100,0
9312145,46,64,1
9312171,64,77,0
9312186,105,49,0
9312205,63,37,0
9312251,63,115,0
9312555,63,115,0
9312666,120,58,0
9312732,70,60,0
9312865,117,92,0
9313127,34,78,0
9313431,34,78,0
9313491,101,59,0
9313517,101,95,0
9313800,107,98,0
9313931,37,97,0
9313965,34,52,1
9314038,37,68,1
9314118,101,112,1
9314277,15,60,1
9314396,57,61,0
9314534,67,39,0
9314557,69,87,0
9314580,121,124,0
9314588,48,93,1
9314602,112,117,0
9314628,101,95,1
9314714,46,20,0
9314719,121,65,0
9314808,112,14,0
9315111,112,14,0
9315122,111,116,0
9315192,2,35,0
9315225,70,16,0
9315268,96,116,0
9315408,36,37,0
9315454,57,112,0
9315494,64,58,0
9315528,124,110,0
9315633,0,39,0
9315672,50,74,0
9315713,65,23,1
9315815,42,112,0
9315845,50,98,0
9316043,92,1,0
9316233,42,105,0
9316363,5,107,0
9316595,107,30,0
9316619,70,106,0
9316622,31,39,1
9316648,51,69,0
9316693,101,101,0
9316781,101,112,0
9316928,101,89,0
9317111,81,1,0
9317165,47,34,1
9317170,47,62,0
9317364,15,52,1
9317398,16,26,0
9317449,75,16,0
9317653,70,70,1
9317662,70,106,1
9317965,70,106,1
9318106,16,115,1
9318384,42,105,0
9318399,70,106,0
9318578,85,28,0
9318640,16,26,1
9318687,88,113,0
9318991,88,113,0
9319099,16,115,0
9319264,107,123,1
9319270,107,11,0
9319456,47,49,0
9319526,107,116,1
9319829,107,116,1
9320087,102,74,1
9320130,69,107,0
9320180,36,91,0
9320260,47,62,1
9320269,29,123,0
9320335,35,51,0
9320475,107,98,0
9320638,107,116,0
9320738,72,87,0
9320797,22,52,0
9320879,15,60,0
9321112,42,83,0
9321163,71,24,0
9321278,24,34,0
9321459,48,57,0
9321567,73,92,0
9321609,85,28,1
9321912,85,28,1
9321916,58,36,0
9321919,13,56,1
9322223,13,56,1
9322232,25,44,0
9322354,46,52,0
9322400,46,116,0
9322589,68,105,0
9322892,68,105,0
9323101,7,56,1
9323405,7,56,1
9323457,124,39,0
9323760,124,39,0
9323901,27,4,0
9323935,65,63,0
9324239,65,63,0
9324542,65,63,0
9324600,7,105,0
9324621,16,26,0
9324925,16,26,0
9325002,52,31,1
9325100,13,56,0
9325258,29,15,0
9325562,29,15,0
9325646,11,60,0
9325653,74,124,0
9325956,74,124,0
9326122,68,105,0
9326162,69,118,0
9326227,114,59,0
9326491,29,23,0
9326690,73,34,0
9326939,1,119,0
9327065,121,65,0
9327133,85,28,0
9327168,53,126,0
9327238,121,67,0
9327268,39,91,0
9327571,39,91,0
9327625,56,107,0
9327868,29,114,0
9328172,29,114,0
9328456,7,72,1
9328457,7,72,1
9328502,70,34,0
9328806,70,34,0
9328835,29,23,0
9329042,68,49,1
9329083,74,77,0
9329261,69,118,0
9329365,14,58,0
9329551,105,24,0
9329672,110,126,1
9329838,80,0,0
9330015,52,31,0
9330096,101,74,1
9330107,32,74,1
9330193,32,98,0
9330220,56,82,0
9330252,79,105,0
9330300,47,116,0
9330603,47,116,0
9330857,83,5,0
9331160,83,5,0
9331318,76,50,1
9331319,76,50,1
9331622,73,96,0
9331840,13,18,0
9332144,13,18,0
9332447,13,18,0
9332593,76,50,1
9332785,2,27,0
9332994,74,105,0
9333053,73,96,0
9333232,15,52,0
9333535,15,52,0
9333738,14,19,0
9333759,38,120,0
9333832,42,84,1
9333948,99,78,0
9333956,92,93,0
9334032,45,115,0
9334335,45,115,0
9334424,93,109,0
9334727,93,109,0
9334844,43,88,0
9334959,68,63,0
9334966,1,122,0
9335009,90,94,1
9335115,38,23,0
9335262,70,70,0
9335335,108,55,0
9335436,52,112,0
9335736,1,120,1
9335832,69,107,0
9335947,114,12,0
9336189,6,110,0
9336448,3,124,1
9336490,31,119,0
9336530,38,23,1
9336537,3,88,0
9336564,50,72,0
9336615,73,96,0
9336776,34,120,0
9337079,34,120,0
9337098,2,88,0
9337101,69,108,0
9337133,2,118,0
9337198,126,44,1
9337232,65,58,1
9337245,96,114,0
9337292,27,9,0
9337298,38,23,0
9337302,5,83,0
9337605,5,83,0
9337739,26,95,0
9337782,7,122,0
9337905,21,29,0
9337999,124,114,0
9338078,110,126,0
9338101,3,63,0
9338315,38,23,1
9338618,38,23,1
9338720,7,122,1
9338817,63,12,0
9338854,63,107,1
9338960,118,0,0
9339038,6,107,0
9339314,38,23,0
9339457,109,25,0
9339556,9,103,0
9339760,78,71,0
9339797,61,1,1
9339868,7,109,0
9339969,36,1,1
9340130,59,126,0
9340433,59,126,0
9340471,101,15,0
9340599,64,107,0
9340618,73,32,0
9340870,47,90,0
9340943,35,14,0
9340953,69,20,0
9340996,92,93,0
9340998,70,41,0
9341302,70,41,0
9341345,8,76,1
9341648,8,76,1
9341701,126,3,1
9341740,126,44,0
9341798,107,3,0
9341875,64,107,0
9341971,34,87,1
9342068,33,85,0
9342164,34,41,0
9342467,34,41,0
9342718,126,3,0
9342751,47,72,0
9342985,51,116,0
9343289,51,116,0
9343592,51,116,0
9343701,13,116,1
9343755,78,60,0
9343955,92,3,1
9344004,6,56,0
9344307,97,8,0
9344610,97,8,0
9344612,115,40,0
9344621,90,35,0
9344627,83,45,0
9344691,118,64,0
9344760,61,126,1
9344958,35,74,0
9345049,56,94,0
9345290,57,61,0
9345435,123,84,0
9345510,7,122,0
9345566,3,124,0
9345604,64,44,1
9345623,3,78,0
9345926,3,78,0
9346230,3,78,0
9346293,102,48,0
9346571,102,74,0
9346676,110,107,1
9346677,110,107,1
9346703,7,122,1
9346741,110,123,1
9346761,13,49,0
9346837,3,78,1
9346911,3,124,0
9347019,23,118,0
9347290,110,123,0
9347296,90,59,0
9347408,7,122,0
9347466,48,15,1
9347675,57,102,0
9347702,31,32,0
9348005,31,32,0
9348225,61,98,0
9348252,41,40,1
9348436,71,22,1
9348480,56,21,0
9348515,61,5,0
9348751,59,17,0
9349030,70,64,0
9349051,114,96,0
9349066,1,69,0
9349117,57,31,0
9349118,114,12,0
9349158,40,125,1
9349209,1,34,0
9349321,78,25,0
9349360,28,104,0
9349385,69,41,0
9349404,108,7,1
9349420,28,64,0
9349460,114,116,0
9349745,15,110,0
9350048,15,110,0
9350251,3,78,0
9350294,57,56,0
9350315,45,84,0
9350320,7,72,0
9350485,29,23,0
9350575,28,43,0
9350588,89,82,0
9350624,69,46,1
9350922,125,68,0
9350945,26,9,0
9351019,101,106,0
9351187,25,29,0
9351424,49,121,0
9351470,21,99,0
9351773,21,99,0
9351843,68,51,0
9352097,11,110,0
9352125,101,106,0
9352255,9,115,0
9352559,9,115,0
9352862,9,115,0
9353064,37,91,0
9353137,31,69,0
9353198,107,98,0
9353280,114,75,0
9353584,114,75,0
9353887,114,75,0
9353904,99,57,0
9353918,22,88,1
9353944,11,110,0
9353976,85,98,0
9354280,85,98,0
9354583,85,98,0
9354777,20,28,0
9354795,39,0,0
9354803,59,50,0
9354986,121,67,0
9355040,113,97,0
9355069,49,121,0
9355233,57,86,0
9355335,89,78,0
9355360,90,121,0
9355384,25,31,0
9355619,32,123,0
9355832,118,86,0
9355913,42,73,0
9355932,36,96,0
9355934,42,6,0
9356213,36,23,1
9356517,36,23,1
9356820,36,23,1
9356865,34,120,0
9356889,10,17,0
9356897,5,39,0
9356900,118,108,0
9356923,91,100,0
9356976,14,105,0
9357061,125,59,0
9357104,111,73,0
9357151,111,101,0
9357155,36,23,0
9357458,36,23,0
9357512,72,123,0
9357515,50,40,0
9357609,102,47,0
9357657,101,74,0
9357675,42,6,1
9357702,84,97,0
9357729,81,35,0
9357743,79,105,0
9357932,102,117,0
9357989,9,78,0
9358139,90,102,0
9358442,90,102,0
9358541,96,48,0
9358844,96,48,0
9358960,90,109,1
9358962,64,8,0
9359115,116,12,0
9359130,64,98,0
9359192,19,54,1
9359399,57,93,0
9359544,114,12,0
9359556,54,59,0
9359770,90,109,0
9359917,69,80,0
9360220,69,80,0
9360351,114,90,1
9360424,35,38,0
9360434,93,106,0
9360686,114,69,0
9360688,121,86,0
9360918,57,93,0
9361222,57,93,0
9361465,76,44,0
9361768,76,44,0
9361832,127,52,0
9361914,46,19,0
9361916,29,23,0
9362055,99,114,0
9362063,17,125,0
9362071,50,122,0
9362128,50,95,0
9362276,30,91,0
9362335,76,122,0
9362403,7,94,0
9362707,7,94,0
9362770,114,90,0
9363073,114,90,0
9363229,79,64,0
9363421,17,125,1
9363427,28,43,0
9363469,89,121,0
9363758,34,87,0
9364020,105,6,1
9364034,69,118,0
9364039,40,1,0
9364049,69,35,0
9364053,56,40,0
9364100,46,116,0
9364198,40,125,0
9364347,89,39,0
9364584,49,92,0
9364887,49,92,0
9365180,33,85,0
9365196,106,122,1
9365263,48,52,0
9365435,50,95,0
9365460,122,85,0
9365471,69,38,0
9365507,50,105,0
9365539,18,32,1
9365577,54,80,0
9365763,57,72,0
9365789,122,83,0
9365868,107,98,0
9365892,82,105,0
9365944,114,12,0
9365960,57,93,0
9366023,57,88,0
9366073,2,54,0
9366103,2,98,0
9366191,41,70,0
9366467,56,112,0
9366478,25,31,0
9366507,25,105,1
9366521,69,80,0
9366717,2,90,0
9366846,2,54,1
9366945,16,52,0
9367124,77,72,0
9367200,29,23,0
9367212,36,72,1
9367282,46,31,0
9367559,40,17,0
9367630,25,105,0
9367909,11,13,1
9368060,19,126,0
9368128,2,63,0
9368138,2,54,0
9368442,2,54,0
9368600,73,92,0
9368643,104,79,0
9368732,19,84,0
9369026,95,93,1
9369292,0,63,1
9369292,0,63,1
9369595,0,63,1
9369881,41,70,0
9369921,28,8,0
9370154,72,60,0
9370311,1,74,0
9370323,106,122,0
9370325,89,112,0
9370354,89,104,0
9370386,89,117,0
9370428,32,98,1
9370596,76,73,0
9370612,28,104,1
9370682,84,110,1
9370939,4,77,0
9371242,4,77,0
9371546,4,77,0
9371547,71,104,0
9371671,82,111,0
9371768,9,53,0
9372000,59,53,0
9372074,15,5,0
9372086,114,69,1
9372103,45,80,0
9372120,56,119,0
9372186,114,41,0
9372489,114,41,0
9372527,24,95,0
9372537,0,81,0
9372608,99,123,0
9372771,0,63,0
9372792,69,68,0
9372855,48,15,0
9372880,104,104,1
9373100,114,41,1
9373341,51,41,0
9373375,106,122,0
9373527,11,66,0
9373831,11,66,0
9374134,11,66,0
9374141,28,90,0
9374231,51,46,0
9374237,36,37,0
9374261,35,70,0
9374415,49,78,0
9374719,49,78,0
9374832,61,119,0
9374967,114,12,0
9375028,114,93,0
9375112,34,120,0
9375133,29,42,0
9375293,114,57,0
9375403,24,62,0
9375559,104,4,0
9375645,63,115,0
9375890,35,119,0
9375920,81,53,1
9375929,91,125,0
9376005,7,56,0
9376008,91,98,0
9376014,91,99,0
9376039,91,109,0
9376111,44,40,0
9376118,44,122,0
9376120,35,70,0
9376138,52,116,0
9376176,46,46,1
9376196,24,105,0
9376371,13,70,0
9376390,59,88,0
9376431,59,54,1
9376518,46,24,0
9376580,127,102,0
9376786,105,49,0
9376844,46,116,0
9376853,69,81,0
9376920,46,102,1
9376942,91,90,0
9376943,69,80,0
